#Study : Study 28-03-17 19h04m
#Date : 20170328 19:12:37
#Version : 6.3.6059.1
#TestRunDate : 20170328 19:08:01.306 (-04:00)
#Tracker : Model-Tobii T60, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1080}, Distance(Resp)-60cm 

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801924		538	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801959		564	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801997		589	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802045		622	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802072		661	1041	433	807	882	2.555313	2.883179	725.5671	727.8571	0.6633393	0.5468787	0.5173768	0.5703661	0	0	924	658		924	658		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802094		707	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802125		736	1001	599	1003	686	2.908356	2.591278	733.1819	734.3697	0.6639084	0.5472761	0.51842	0.5701825	0	0	1002	642		1002	642		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802154		758	1092	482	956	704	2.618393	2.968521	734.7007	735.7504	0.6640559	0.5474076	0.5188175	0.5701714	0	0	1024	593		1024	593		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802181		786	1016	550	918	728	2.95047	3.072128	736.5787	737.1747	0.6640785	0.5474548	0.5191097	0.5701013	0	0	967	639		967	639		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802209		815	1087	472	821	810	2.665939	3.099289	738.4406	738.8066	0.6639935	0.5475686	0.5193291	0.5701903	0	0	954	641		954	641		0																	
