#Study : Study 28-03-17 19h04m
#Date : 20170328 19:12:37
#Version : 6.3.6059.1
#TestRunDate : 20170328 19:08:01.306 (-04:00)
#Tracker : Model-Tobii T60, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1080}, Distance(Resp)-60cm 

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813250		11846	-1	-1	-1	-1	-1	-1	-1	-1	0.6459641	0.5532335	0.5092226	0.5961346	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813283		11878	-1	-1	-1	-1	-1	-1	-1	-1	0.6460443	0.5533275	0.5093309	0.5961391	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813314		11910	-1	-1	-1	-1	-1	-1	-1	-1	0.6461822	0.5533698	0.5094907	0.596073	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813344		11943	-1	-1	-1	-1	-1	-1	-1	-1	0.6462385	0.5534872	-1	-1	0	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813375		11974	-1	-1	-1	-1	-1	-1	-1	-1	0.6462609	0.5535425	0.5095525	0.5960341	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813406		12005	-1	-1	-1	-1	-1	-1	-1	-1	0.6462065	0.5535135	-1	-1	0	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813441		12036	-1	-1	1825	100	-1	4.560471	-1	775.1599	0.6467246	0.553525	0.5099543	0.5957677	0	0	1825	100		1825	100		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813472		12068	-1	-1	1750	121	-1	4.557632	-1	775.1656	0.6470135	0.553593	0.5102983	0.5955889	0	0	1750	121		1750	121		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813506		12100	-1	-1	1764	123	-1	4.547119	-1	775.183	0.6471	0.5536444	0.5103145	0.5955765	0	0	1764	123		1764	123		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813538		12133	-1	-1	1749	123	-1	4.573166	-1	775.0626	0.6472842	0.5537322	0.5103878	0.595552	0	0	1749	123		1749	123		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813571		12165	-1	-1	1742	108	-1	4.560715	-1	775.2374	0.6474856	0.5537323	0.5105599	0.5954428	0	0	1742	108		1742	108		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813604		12198	-1	-1	1744	124	-1	4.55719	-1	774.7973	0.6477528	0.5537703	0.5107476	0.5952987	0	0	1744	124		1744	124		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813636		12231	-1	-1	1754	116	-1	4.521225	-1	774.4679	0.6480651	0.5538083	0.5109671	0.5951753	0	0	1754	116		1754	116		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813668		12263	-1	-1	1741	122	-1	4.561066	-1	774.5851	0.6484011	0.5538599	0.5112413	0.5950639	0	0	1741	122		1741	122		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813702		12296	-1	-1	1740	117	-1	4.546463	-1	774.5458	0.6487687	0.5537933	0.5115706	0.5948628	0	0	1740	117		1740	117		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813733		12328	-1	-1	1751	127	-1	4.545303	-1	774.5278	0.6491656	0.5536268	0.5119179	0.5944788	0	0	1751	127		1751	127		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813765		12360	-1	-1	1756	135	-1	4.528122	-1	774.4745	0.6496924	0.5530745	0.5123336	0.5935555	0	0	1756	135		1756	135		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813797		12393	-1	-1	1753	114	-1	4.606369	-1	774.3453	0.6504279	0.5523983	0.5129033	0.5923353	0	0	1753	114		1753	114		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813830		12425	-1	-1	1755	127	-1	4.582199	-1	774.3985	0.6513495	0.5519601	0.5136658	0.5913104	0	0	1755	127		1755	127		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813862		12457	-1	-1	1767	114	-1	4.582413	-1	774.0695	0.6524409	0.5518388	0.5145631	0.5905909	0	0	1767	114		1767	114		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813894		12490	-1	-1	1756	135	-1	4.547119	-1	773.8712	0.6535953	0.5519056	0.5154499	0.5900586	0	0	1756	135		1756	135		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813926		12522	-1	-1	1773	126	-1	4.63028	-1	773.7297	0.6548237	0.5519316	0.5164853	0.589428	0	0	1773	126		1773	126		0				20	1753	122	12068	454									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813959		12554	-1	-1	1447	108	-1	4.649628	-1	773.0125	0.6575687	0.5519829	0.5190104	0.5882987	0	0	1447	108		1447	108		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190813992		12586	-1	-1	1047	119	-1	4.681808	-1	772.8077	0.6607055	0.5523882	0.5222818	0.5871974	0	0	1047	119		1047	119		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814024		12619	-1	-1	1051	118	-1	4.698074	-1	772.1427	0.6625684	0.5526873	0.5239536	0.5864048	0	0	1051	118		1051	118		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814056		12651	-1	-1	1037	115	-1	4.689636	-1	771.6395	0.6645356	0.5530059	0.5255254	0.5857139	0	0	1037	115		1037	115		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814089		12684	-1	-1	1028	126	-1	4.700287	-1	771.4749	0.6664222	0.5533324	0.5271425	0.5849323	0	0	1028	126		1028	126		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814122		12716	-1	-1	1030	124	-1	4.707138	-1	771.314	0.6681933	0.5535451	0.5286664	0.5842248	0	0	1030	124		1030	124		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814154		12749	-1	-1	1033	121	-1	4.72023	-1	771.2263	0.6697139	0.5536737	0.5300038	0.5834482	0	0	1033	121		1033	121		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814187		12782	-1	-1	1040	140	-1	4.703018	-1	771.2225	0.6709777	0.5536615	0.5311591	0.5827246	0	0	1040	140		1040	140		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814219		12814	-1	-1	1030	135	-1	4.650375	-1	771.5667	0.6720597	0.5536082	0.5321348	0.5820799	0	0	1030	135		1030	135		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814251		12846	-1	-1	1021	119	-1	4.704041	-1	771.6375	0.6729218	0.5535069	0.5329413	0.5815499	0	0	1021	119		1021	119		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814283		12878	-1	-1	1029	124	-1	4.694626	-1	771.7589	0.6736561	0.553335	0.5336789	0.5809768	0	0	1029	124		1029	124		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814316		12911	-1	-1	1019	130	-1	4.669464	-1	771.8525	0.6743942	0.5530558	0.5343236	0.5803697	0	0	1019	130		1019	130		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814347		12943	-1	-1	1025	125	-1	4.726593	-1	771.8885	0.6750996	0.5527013	0.535044	0.5797108	0	0	1025	125		1025	125		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814379		12975	-1	-1	1039	105	-1	4.684753	-1	771.9019	0.6758284	0.5525807	0.5357586	0.5793732	0	0	1039	105		1039	105		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814411		13007	-1	-1	1043	138	-1	4.639694	-1	771.8534	0.6765757	0.5526487	0.5364395	0.5790709	0	0	1043	138		1043	138		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814443		13039	-1	-1	1025	131	-1	4.638565	-1	771.8198	0.6772593	0.5528607	0.537026	0.5789499	0	0	1025	131		1025	131		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814475		13071	-1	-1	1044	123	-1	4.658875	-1	771.4653	0.6778746	0.5530982	0.5375885	0.5788704	0	0	1044	123		1044	123		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814507		13103	-1	-1	1041	121	-1	4.634949	-1	771.5931	0.6785229	0.553305	0.5381324	0.5787909	0	0	1041	121		1041	121		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814539		13135	-1	-1	1023	133	-1	4.627884	-1	771.4766	0.6790722	0.5535221	0.5385956	0.5787231	0	0	1023	133		1023	133		0				21	1034	125	12586	549									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814572		13167	-1	-1	1329	57	-1	4.588028	-1	771.8538	0.6784528	0.5530884	0.5378707	0.578364	0	0	1329	57		1329	57		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814602		13199	-1	-1	1446	232	-1	3.778915	-1	772.1628	0.6783722	0.5526372	0.5377086	0.577834	0	0	1446	232		1446	232		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814631		13231	850	157	-1	-1	3.038177	-1	768.6386	-1	0.6791504	0.552363	-1	-1	0	4	850	157		850	157		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814660		13261	-1	-1	1292	117	-1	3.970169	-1	771.6103	0.6797117	0.552554	0.5389521	0.5772503	0	0	1292	117		1292	117		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814691		13290	-1	-1	-1	-1	-1	-1	-1	-1	0.6801251	0.5527557	0.539434	0.5772482	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814722		13320	-1	-1	-1	-1	-1	-1	-1	-1	0.6805243	0.5529901	0.5398164	0.5772255	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814754		13350	-1	-1	-1	-1	-1	-1	-1	-1	0.680926	0.5530973	0.5401355	0.5771587	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814786		13382	-1	-1	-1	-1	-1	-1	-1	-1	0.6812859	0.5533023	0.5404632	0.5772089	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814818		13414	-1	-1	-1	-1	-1	-1	-1	-1	0.6816305	0.5535247	0.5407789	0.5772231	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814850		13446	-1	-1	-1	-1	-1	-1	-1	-1	0.6818529	0.5538911	0.5410768	0.5773951	0	0	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814882		13478	904	136	1140	319	4.301056	4.572922	767.1991	769.988	0.6822165	0.5561987	0.5420772	0.5791274	0	0	1022	228		1022	228		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814914		13510	857	267	1110	415	4.299896	4.576157	767.131	769.962	0.68261	0.5572272	0.5424041	0.5799618	0	0	984	341		984	341		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814946		13542	886	271	1136	424	4.300095	4.608231	767.0942	769.5718	0.6828974	0.5574613	0.542519	0.5801418	0	0	1011	348		1011	348		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190814978		13574	866	294	1112	400	4.309402	4.606812	767.1542	769.685	0.6830685	0.5576615	0.5425739	0.5803307	0	0	989	347		989	347		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815011		13606	855	276	1109	418	4.309601	4.618668	767.2473	769.8584	0.6833022	0.5579209	0.5426503	0.5804253	0	0	982	347		982	347		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815043		13638	866	306	1119	435	4.357071	4.61882	767.3234	770.1356	0.6834484	0.5580642	0.5427754	0.5804827	0	0	992	370		992	370		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815074		13670	844	255	1119	430	4.301651	4.659073	767.5485	770.1856	0.6836177	0.5582928	0.5428556	0.5805625	0	0	982	342		982	342		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815107		13702	858	294	1126	434	4.335144	4.630341	767.3301	770.1786	0.6837568	0.5583432	0.5428987	0.5805511	0	0	992	364		992	364		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815139		13734	852	299	1128	437	4.345444	4.647247	767.2028	770.1414	0.6838509	0.5584478	0.54295	0.5805742	0	0	990	368		990	368		0				22	991	355	13542	192									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815160		13766	-1	-1	1139	431	-1	4.618652	-1	769.9607	-1	-1	0.5429913	0.5806552	4	0	1139	431		1139	431		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815183		13798	-1	-1	1153	423	-1	4.565536	-1	769.8716	-1	-1	0.5430173	0.5808644	4	0	1153	423		1153	423		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815217		13823	842	322	1149	439	4.358246	4.588333	767.1761	769.7767	0.6841666	0.5590912	0.5430191	0.5810372	0	0	996	380		996	380		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815248		13848	809	298	1151	433	4.317184	4.586777	767.1885	769.642	0.6842203	0.559422	0.5430463	0.5813305	0	0	980	366		980	366		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815280		13876	872	300	1214	425	4.326141	4.574524	767.2568	769.7519	0.6841191	0.5597689	0.5428417	0.5818015	0	0	1043	362		1043	362		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815311		13908	1224	287	1484	564	4.154007	3.848862	767.2991	769.7849	0.6825738	0.5600891	0.5413986	0.5825133	0	0	1354	426		1354	426		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815328		13940	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815352		13971	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815369		13996	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815395		14022	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815443		14048	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815486		14073	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815525		14106	106	1001	34	891	2.255905	2.323517	766.6871	765.4037	0.6879677	0.5690409	0.6876885	0.5690454	3	1	70	946		70	946		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815566		14147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815596		14189	705	447	960	477	4.123718	4.324219	764.8549	766.1003	0.688062	0.5694237	0.5463489	0.589971	0	0	832	462		832	462		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815629		14225	714	358	912	479	4.371994	4.443222	764.7901	765.8704	0.6880664	0.5692565	0.5462765	0.5898533	0	0	813	418		813	418		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815660		14255	731	331	924	460	4.35968	4.470062	764.7944	765.8956	0.6880504	0.5690131	0.546257	0.5895813	0	0	828	396		828	396		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815690		14287	726	369	944	441	4.326859	4.509216	764.7471	765.8961	0.687986	0.5686888	0.5461572	0.5894064	0	0	835	405		835	405		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815722		14319	712	352	970	420	4.357483	4.534607	764.7104	766.2895	0.6878715	0.5685566	0.5461354	0.5893121	0	0	841	386		841	386		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815753		14349	709	371	948	455	4.381775	4.535156	764.7141	766.1061	0.6878424	0.5685275	0.5460834	0.5892991	0	0	828	413		828	413		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815785		14381	692	360	971	454	4.410599	4.507874	764.6509	766.1973	0.6878037	0.5684839	0.5460459	0.589277	0	0	832	407		832	407		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815817		14413	703	365	980	439	4.396469	4.490204	764.6333	766.1884	0.6877788	0.5682983	0.5460363	0.589243	0	0	842	402		842	402		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815849		14445	717	372	966	435	4.358276	4.524521	764.6169	766.0795	0.6877962	0.5681873	0.5460055	0.5891827	0	0	842	404		842	404		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815881		14477	699	367	963	442	4.398804	4.52623	764.4059	766.0338	0.6878795	0.56816	0.5460502	0.5891818	0	0	831	404		831	404		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815913		14509	713	359	956	456	4.436035	4.545715	764.5651	765.9639	0.6880565	0.5681052	0.5461436	0.588995	0	0	834	408		834	408		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815946		14541	692	351	972	439	4.463196	4.462585	764.2886	765.9636	0.6882759	0.5681638	0.5463891	0.5889602	0	0	832	395		832	395		0				23	834	402	14255	286									
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190815978		14573	703	354	-1	-1	4.413666	-1	764.4293	-1	0.6885914	0.5681744	0.5447545	0.5873631	0	0	703	354		703	354		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190816009		14605	714	358	958	431	4.406174	4.535187	764.3656	765.6903	0.6889568	0.5682466	0.5469754	0.5886923	0	0	836	394		836	394		0																	
